<!DOCTYPE HTML>,None
<html>,
<head>,
<title>2025 District Compilation</title>,
"<meta name=""viewport"" content=""width=device-width","[' initial-scale=1"">']"
"<meta name=""description"" content=""2025 Central/East/Southeast","[' Northeast', ' Northwest and Southwest district meet results combined with state meet automatics shown."">']"
"<link rel=""stylesheet"" type=""text/css"" media=""all"" href=""/stylesheets/v4/normalize.css"">",
"<link rel=""stylesheet"" type=""text/css"" media=""all"" href=""/stylesheets/v4/page.css"">",
"<link rel=""stylesheet"" type=""text/css"" media=""all"" href=""/stylesheets/v4/nav.css"">",
"<link rel=""stylesheet"" type=""text/css"" media=""all"" href=""/stylesheets/v4/map.css"">",
"<link rel=""stylesheet"" type=""text/css"" media=""all"" href=""/stylesheets/v4/results.css"">",
"<link rel=""stylesheet"" type=""text/css"" media=""all"" href=""/stylesheets/v4/bannerAds.css"">",
<!-- Include jQuery library -->,
"<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js""></script>",
<!-- Include Google Maps API v3 library -->,
"<script type=""text/javascript"" src=""https://maps.googleapis.com/maps/api/js?key=AIzaSyBSp-4J2b585_1RrFZUbZ2IQIVerbU2baI""></script>",
<!-- Include swimmeet.com javascripts -->,
"<script src=""/javascripts/v4/page.js""></script>",
"<script src=""/javascripts/v4/nav.js""></script>",
"<script src=""/javascripts/v4/map.js""></script>",
"<script src=""/javascripts/v4/rankings.js""></script>",
<!-- Include Google Analytics libray -->,
"<script src=""/javascripts/ga.js""></script>",
</head>,
<body>,
<form>,
"<input type=""hidden"" id=""automatics"" value=""yes"">",
"<input type=""hidden"" id=""meet"" value=""ohio/2024-2025/compilation"">",
"<input type=""hidden"" class=""divisionData"" divisionName=""Division I"" divisionNum=""1"">",
"<input type=""hidden"" class=""divisionData"" divisionName=""Division II"" divisionNum=""2"">",
"<input type=""hidden"" id=""view"" value=""text"">",
"<input type=""hidden"" id=""eventMaps"" value=""yes"">",
"<input type=""hidden"" id=""session"" value="""">",
"<input type=""hidden"" id=""event"" value="""">",
</form>,
<xml></xml>,
<header>,
<section>,
"<div id=""logo""><img src=""/images/logo_inline_noshadow.png"" /></div>",
<nav>,
"<div id=""navButton""></div>",
"<div id=""navList"" class=""include"" file=""nav.html""></div>",
</nav>,
</section>,
</header>,
<main>,
<section>,
"<div class=""banner horizontal top""></div>",
<h1>District Compilation</h1>,
<h2>Central/East/Southeast,"[' Northeast', ' Northwest & Southwest District Meets</h2>']"
<h3>OHSAA Swimming & Diving Tournament</h3>,
<h3>February 14-15,[' 2025</h3>']
"<div class=""banner horizontal bottom hide""></div>",
</section>,
</main>,
<footer>,
"<section class=""hide""><a href=""#"" onclick=""page(this);return false;"">hide</a></section>",
</footer>,
</body>,
</html>,
