rk,nm,gr,sc,sh,shx,ct,st,ll,ti,sp,pt
1,A,,COSC,St. Charles,Preparatory School,Columbus,OH,"39.969651, -82.947449",1:29.47,"23.37,23.96,22.14,20.00;W. Julian,A. Carpenter,A. Zarick,J. Lloyd",
2,A,,CLSI,St. Ignatius,,Cleveland,OH,"41.482987, -81.706840",1:30.57,"22.90,24.35,22.71,20.61;J. Hong,J. Banks,C. Fitzgerald,T. Johannessen",
3,A,,CSTX,St. Xavier,,Cincinnati,OH,"39.208760, -84.504478",1:31.19,"23.36,24.63,22.58,20.62;T. Charles,J. Ellerman,O. Gee,S. Demarco",
4,A,,UPA,Upper Arlington,,Upper Arlington,OH,"40.015311, -83.054726",1:31.65,"22.31,25.33,22.89,21.12;C. Blamer,O. Hulse,T. Rucker,B. Moss",
5,A,,TSFD,St. Francis de Sales,,Toledo,OH,"41.662272, -83.599113",1:33.59,"22.78,25.80,23.26,21.75;M. Buff,O. Lazenby,B. Quisno,B. Sanchez",
6,A,,MAS,Mason,,Mason,OH,"39.351367, -84.306013",1:34.11,"24.44,26.08,22.76,20.83;R. Wall,E. Tu,L. Clark,Y. Ghobril",
7,A,,WTW,Thomas Worthington,,Worthington,OH,"40.090509, -83.025051",1:34.79,"24.21,26.65,22.56,21.37;S. Kissling,W. Barnes,L. Ament,C. Florence",
8,A,,CAMO,Archbishop Moeller,,Cincinnati,OH,"39.220253, -84.358455",1:34.88,"24.72,26.50,22.60,21.06;J. Patterson,N. Spivery,R. Hicks,E. Preissler",
9,A,,DJER,Dublin Jerome,,Dublin,OH,"40.133757, -83.177420",1:35.80,"23.87,25.79,23.96,22.18;D. Cellar,C. Carlisle,H. Huang,P. Guerrera",
10,A,,CTUR,Turpin,,Cincinnati,OH,"39.105629, -84.367366",1:36.28,"22.46,28.51,23.76,21.55;H. Meyers,B. Dershak,C. Burke,C. Menne",
11,A,,DCO,Dublin Coffman,,Dublin,OH,"40.107364, -83.130928",1:36.41,"25.58,25.54,24.31,20.98;A. Frazier,C. Frazier,L. Donovan,D. Shaw",
12,A,,LCO,Olentangy,,Lewis Center,OH,"40.205092, -83.020650",1:36.84,"25.11,26.92,23.49,21.32;O. Thomas,T. Naylor,B. Frayen,E. Tillman",
13,A,,KMK,Kings,,Kings Mills,OH,"39.354352, -84.254955",1:37.30,"24.78,27.66,23.03,21.83;J. Cukovecki,S. Shrimplin,G. Zubkov,S. Izquierdo",
14,A,,SOL,Solon,,Solon,OH,"41.377670, -81.441060",1:37.34,"25.78,27.98,22.19,21.39;P. Harris,J. Wang,D. Yagour,G. Libecco",
15,A,,CIE,Elder,,Cincinnati,OH,"39.112117, -84.580179",1:37.54,"25.02,27.70,22.62,22.20;G. Miles,T. Carroll,C. Pressler,A. Cunningham",
16,A,,CSYC,Sycamore,,Cincinnati,OH,"39.267037, -84.352090",1:37.73,"25.85,26.63,23.39,21.86;C. Muszynski,M. Xie,C. Preissler,P. Schnelle",
17,A,,CEN,Centerville,,Centerville,OH,"39.626987, -84.148198",1:38.03,"24.50,26.10,24.45,22.98;C. Purtee,E. Pianki,N. Smith,K. Napier",
18,A,,CFWJ,Walsh Jesuit,,Cuyahoga Falls,OH,"41.192007, -81.496008",1:38.15,"23.83,29.05,22.93,22.34;C. Smesko,B. Slaght,A. Gerstenmaier,B. Lewis",
19,A,,HUD,Hudson,,Hudson,OH,"41.256797, -81.413904",1:38.16,"25.46,26.33,23.92,22.45;J. Bueno,A. Luczywo,N. Bartlett,I. Reber",
20,A,,CIWH,Walnut Hills,,Cincinnati,OH,"39.140488, -84.480216",1:39.24,"26.01,28.31,23.00,21.92;C. Reed,G. McCracken,I. Greenlee,R. Roco",
21,A,,PICN,Pickerington North,,Pickerington,OH,"39.908903, -82.733425",1:39.63,"25.75,26.22,24.85,22.81;M. Herrmann,J. Schwartz,R. Binting,E. Bush",
22,A,,BVC,Beavercreek,,Beavercreek,OH,"39.720416, -84.033778",1:39.76,"24.38,28.70,24.65,22.03;A. Drachuk,C. Hill,D. Novitske,L. McClure",
23,A,,DHA,Hayes,,Delaware,OH,"40.310505, -83.080234",1:40.34,"26.49,28.29,23.85,21.71;L. West,T. Redmond,V. Hupp,N. Green",
--,A,,VANB,Butler,,Vandalia,OH,"39.885121, -84.197325",DQ,"25.62,27.43,24.07,NT,98.18;A. Kuhns,B. Swinderman,A. Hale,K. Snyder",
